Country,Code,Year,Population,LifeExp,GDPperCap,Continent_Name
Comoros,COM,1950,159000.0,38.098,868.0,Africa
Malaysia,MYS,1950,6110000.0,53.302,2667.0,Asia
Ghana,GHA,1950,5036000.0,41.121,2322.0,Africa
Mongolia,MNG,1950,780000.0,42.523999999999994,669.0,Asia
Syria,SYR,1950,3413000.0,46.43600000000001,2520.0,Asia
France,FRA,1950,41834000.0,66.233,6869.0,Europe
Ecuador,ECU,1950,3470000.0,47.425,2441.0,South America
Dominica,DMA,1950,51000.0,54.119,2404.0,North America
Morocco,MAR,1950,8986000.0,45.037,2712.0,Africa
Botswana,BWA,1950,413000.0,43.646,1344.0,Africa
Paraguay,PRY,1950,1473000.0,62.683,1306.0,South America
Romania,ROU,1950,16236000.0,61.108000000000004,951.0,Europe
Eswatini,SWZ,1950,273000.0,39.403,738.0,Africa
Finland,FIN,1950,4008000.0,65.452,5208.0,Europe
Yemen,YEM,1950,4661000.0,29.096999999999998,1055.0,Asia
Benin,BEN,1950,2255000.0,32.698,1230.0,Africa
Niger,NER,1950,2560000.0,34.415,1148.0,Africa
Uganda,UGA,1950,5158000.0,39.035,1185.0,Africa
Oman,OMN,1950,456000.0,34.192,1304.0,Asia
Australia,AUS,1950,8177000.0,68.845,13542.0,Oceania
Puerto Rico,PRI,1950,2218000.0,60.918,4742.0,North America
Philippines,PHL,1950,18580000.0,54.881,1310.0,Asia
Tunisia,TUN,1950,3605000.0,38.293,1619.0,Africa
Bulgaria,BGR,1950,7251000.0,60.388999999999996,2922.0,Europe
Zimbabwe,ZWE,1950,2747000.0,48.831,1967.0,Africa
Burkina Faso,BFA,1950,4284000.0,29.982,1378.0,Africa
Panama,PAN,1950,860000.0,55.735,2073.0,North America
Uruguay,URY,1950,2239000.0,65.804,6269.0,South America
Djibouti,DJI,1950,62000.0,40.375,4255.0,Africa
United Kingdom,GBR,1950,50616000.0,68.708,9441.0,Europe
Barbados,BRB,1950,211000.0,52.333999999999996,4575.0,North America
Brazil,BRA,1950,53975000.0,50.06,1549.0,South America
Denmark,DNK,1950,4268000.0,70.46300000000001,9376.0,Europe
Pakistan,PAK,1950,37542000.0,35.091,1211.0,Asia
Equatorial Guinea,GNQ,1950,226000.0,33.264,832.0,Africa
Turkey,TUR,1950,21408000.0,40.176,1912.0,Asia
Egypt,EGY,1950,20452000.0,38.457,1983.0,Africa
Seychelles,SYC,1950,36000.0,61.458999999999996,4932.0,Africa
Venezuela,VEN,1950,5482000.0,54.273,4055.0,South America
Poland,POL,1950,24824000.0,59.14,3141.0,Europe
